time,x,y,z,roll,pitch,yaw
25.416287,-0.00309844,-2.37637,1.33382,-0.103169,-0.012251,1.72932,225
25.550653,-0.0120178,-2.32334,1.35139,-0.109663,-0.0383895,1.74606,226
25.617836,-0.0105791,-2.29546,1.35585,-0.107968,-0.0366395,1.75273,227
25.718611,-0.0037755,-2.26004,1.35102,-0.0893078,-0.0371057,1.75818,228
25.785794,-0.0113752,-2.23056,1.35488,-0.0784941,-0.0383031,1.75209,229
25.920160,-0.0348629,-2.158,1.36743,-0.0742741,-0.0274907,1.73319,230
26.020934,-0.0238472,-2.09828,1.35255,-0.0646177,-0.0384813,1.73119,231
26.088117,-0.0353884,-2.05161,1.35802,-0.0764557,-0.038955,1.72026,232
26.222483,-0.0255015,-1.96834,1.35923,-0.0979768,-0.049028,1.70676,233
26.256075,-0.036597,-1.94595,1.35379,-0.0986198,-0.04993,1.69591,234
26.323258,-0.0464514,-1.90813,1.36649,-0.0919275,-0.0449139,1.68163,235
26.457624,-0.0636885,-1.83463,1.37121,-0.055893,-0.0515668,1.65466,236
26.524743,-0.0625841,-1.79542,1.37483,-0.0456914,-0.0465295,1.65256,237
26.625200,-0.0682908,-1.73419,1.37885,-0.0398821,-0.0490143,1.64967,238
26.692129,-0.0557614,-1.69086,1.38136,-0.0428604,-0.0491939,1.66364,239
26.825987,-0.048709,-1.61266,1.38266,-0.0604099,-0.0505614,1.69896,240
26.859452,-0.0458748,-1.59292,1.3784,-0.0603183,-0.0541115,1.70475,241
26.993310,-0.0379738,-1.51858,1.3767,-0.0678811,-0.0696225,1.71611,242
27.127168,-0.0442691,-1.44331,1.38181,-0.0578918,-0.073467,1.72067,243
27.160632,-0.0254638,-1.42125,1.37664,-0.053272,-0.0756242,1.72897,244
27.294490,-0.042455,-1.3486,1.37617,-0.0476082,-0.0589325,1.71757,245
27.394884,-0.0385971,-1.2785,1.36283,-0.0511512,-0.0641803,1.71307,246
27.528742,-0.0564185,-1.19085,1.35321,-0.069263,-0.0620074,1.70076,247
27.595671,-0.0664646,-1.14813,1.34724,-0.0896833,-0.0458242,1.70179,248
27.696064,-0.0827972,-1.07391,1.34784,-0.100964,-0.0289644,1.6875,249
27.829922,-0.0911379,-1.00838,1.34219,-0.0911094,-0.0229455,1.67221,250
27.896851,-0.0957832,-0.971482,1.34077,-0.080643,-0.0226885,1.6661,251
27.997245,-0.101308,-0.910537,1.34627,-0.0743556,-0.0311102,1.66254,252
28.131166,-0.0921864,-0.826117,1.34413,-0.0684893,-0.04162,1.67018,253
28.265469,-0.0812151,-0.741194,1.34381,-0.0509598,-0.029105,1.68793,254
28.366243,-0.0754389,-0.685864,1.34228,-0.0546944,-0.0330938,1.69276,255
28.500609,-0.0604853,-0.613795,1.32079,-0.0828217,-0.0539024,1.70203,256
28.601384,-0.0608571,-0.562295,1.28814,-0.102423,-0.0472872,1.68978,257
28.668567,-0.0602362,-0.536895,1.28882,-0.0976784,-0.0394696,1.68387,258
28.802933,-0.0612893,-0.482043,1.23837,-0.112167,-0.0100369,1.6793,259
28.870116,-0.0553865,-0.456243,1.21521,-0.133956,-0.0153832,1.69157,260
28.970890,-0.0515043,-0.413349,1.16983,-0.163727,-0.0373901,1.69565,261
29.105256,-0.0585347,-0.366302,1.09843,-0.159899,-0.0483716,1.68389,262
29.172439,-0.060858,-0.345321,1.05976,-0.140126,-0.0627525,1.6798,263
29.273055,-0.0583709,-0.316275,0.994858,-0.100624,-0.0888986,1.68194,264
29.406913,-0.0504536,-0.287252,0.891744,-0.0669512,-0.109647,1.67885,265
29.473747,-0.0467602,-0.269514,0.828906,-0.0725356,-0.122579,1.66882,266
29.507148,-0.0457593,-0.26107,0.802273,-0.0796073,-0.122117,1.66569,267
29.640752,-0.0288942,-0.238532,0.69889,-0.09887,-0.134316,1.68025,268
29.707554,-0.0398114,-0.231745,0.676295,-0.0932738,-0.124237,1.67695,269
29.774356,-0.037826,-0.227934,0.656544,-0.087104,-0.097071,1.67328,270
29.941361,-0.0371055,-0.212627,0.582459,-0.083406,-0.0947413,1.66475,271
30.108398,-0.0295523,-0.203481,0.601811,-0.0739543,-0.0880002,1.66241,272
30.309502,-0.0259825,-0.190378,0.583012,-0.0114159,-0.0552732,1.6556,273
