time,x,y,z,roll,pitch,yaw,framenum,valid,x_lpe,y_lpe,z_lpe,r_lpe,p_lpe,y_lpe
15.196915,2.09513,-0.122453,0.541276,-0.0153938,0.0112587,0.115973,90,0,1.90759,-0.0617264,0.64847,-0.0297909,0.0269918,0.110135
15.432055,2.07049,-0.1288,0.547254,-0.0237527,0.000688247,0.11276,91,0,1.87709,-0.0639558,0.657803,-0.0428916,0.0124161,0.107203
15.566263,2.0491,-0.128604,0.547685,-0.0263106,-0.00629924,0.109806,92,0,1.84566,-0.0619096,0.656962,-0.0429866,0.020993,0.0944478
15.733490,2.00158,-0.123979,0.555439,-0.0287793,0.00113554,0.0854897,93,0,1.8185,-0.0586996,0.657954,-0.0500857,0.0185516,0.0830847
15.867221,1.9674,-0.125459,0.556859,-0.0338213,-0.0132613,0.0778418,94,0,1.77626,-0.0539064,0.66318,-0.0546674,0.00655112,0.0672987
16.000952,1.92923,-0.122327,0.55785,-0.0263079,-0.0195532,0.0616194,95,0,1.74593,-0.0533881,0.667008,-0.0384858,0.00261512,0.0622403
16.101250,1.89666,-0.120155,0.554529,-0.00587894,-0.0132858,0.0527538,96,0,1.71199,-0.0545848,0.668366,-0.0157668,0.0122036,0.0592882
16.234981,1.86468,-0.12499,0.550678,0.000498293,-0.000569287,0.0649287,97,0,1.67102,-0.0532811,0.674686,-0.02674,0.0239262,0.0759456
16.402145,1.81754,-0.135404,0.553461,-0.035522,-0.0107585,0.094662,98,0,1.63174,-0.050625,0.673699,-0.0622068,-0.000602098,0.0953436
16.535876,1.78605,-0.140874,0.556153,-0.0435268,-0.0277058,0.100193,99,0,1.60725,-0.0542296,0.671292,-0.0576404,-0.00209413,0.0861523
16.636238,1.75901,-0.134977,0.560349,-0.0341366,-0.016416,0.0663394,100,0,1.58363,-0.0555878,0.68044,-0.0573643,0.00220145,0.0600159
16.770413,1.72882,-0.132208,0.553364,-0.0561816,-0.0326606,0.0298537,101,0,1.54852,-0.0516231,0.676987,-0.0795827,-0.0250021,0.0215736
